index,core_people_number,important_node_number,live_apple,live_people_number,live_stay_fre,live_weekday_day_time,live_weekday_eve_time,live_weekend_day_time,live_weekend_eve_time,no_core_people_number,noimportant_node_number,sx_29_01,sx_29_02,sx_29_03,sx_29_04,sx_29_05,sx_29_06,sx_29_07,sx_29_08,sx_29_09,sx_29_10,sx_29_11,sx_29_12,sx_29_13,sx_29_14,sx_29_15,sx_29_16,visit_apple,visit_people_number,visit_stay_fre,visit_weekday_day_time,visit_weekday_eve_time,visit_weekend_day_time,visit_weekend_eve_time,walk_frequency,web_time_business,web_time_enjoy,web_time_life,web_time_other,work_apple,work_people_number,work_stay_fre,work_weekday_day_time,work_weekday_eve_time,work_weekend_day_time,work_weekend_eve_time
298222,520,NA,37,189,2238,81591970,35003983,36578036,13582447,40,3,NA,NA,1,14,40,65,75,59,54,60,61,32,21,15,5,17,65,329,2238,10827550,3218740,7325770,1837856,77550,7657914,12313500,13043924,23246299,8,42,2238,12205665,1063476,4388229,532857
224061,1239,2,62,380,5340,152535277,67007569,67064520,27683089,247,NA,NA,1,3,30,130,165,190,161,122,136,135,59,35,20,27,92,150,971,5340,24574264,7005589,17806320,4649781,44645,18351714,27539272,28323136,49068847,7,135,5340,33836222,3556814,11444748,1151063
222603,709,NA,3,102,1626,33394603,20252048,15167800,8777189,133,NA,NA,NA,NA,9,59,79,107,75,71,83,70,32,23,20,7,47,76,680,1626,5553233,1417096,4462974,1170726,NA,7333511,11448252,10188348,23208844,11,60,1626,10527637,923032,4278213,246527
237594,66,NA,1,9,231,5816491,2996445,2615095,1375094,8,NA,NA,NA,NA,3,7,11,14,8,8,5,9,1,NA,2,2,NA,13,57,231,1122313,288753,882151,207447,NA,1166520,1397551,1091185,3183264,1,8,231,1687353,347153,524558,115952
238405,153,NA,3,27,537,8686535,3894645,4244928,1694541,36,NA,NA,NA,NA,5,18,18,32,10,18,17,19,8,10,1,3,7,33,153,537,1981835,395669,3023257,778743,NA,3505589,4994103,4999376,8464122,NA,9,537,1380660,132717,705436,82561
201178,65,NA,NA,6,179,1297708,547285,384628,194074,10,NA,NA,NA,NA,3,6,6,11,8,9,9,8,2,NA,NA,NA,6,11,67,179,609006,109950,291762,52554,NA,1089721,1598824,2321069,2495989,NA,2,179,259729,6157,28729,0
218372,437,1,12,99,1197,13861708,7991235,5974370,3535291,346,7,NA,NA,NA,6,46,84,105,76,88,85,57,29,25,16,15,40,76,625,1197,3002827,775865,1681295,350375,36988,4196149,7275835,6363791,14581766,4,59,1197,2594753,550213,687753,142669
224769,1071,NA,84,397,3578,180677402,90291240,76817505,37469126,158,NA,NA,NA,2,20,124,137,172,165,127,134,79,46,39,22,14,54,171,696,3578,17313685,5993343,15709044,4874853,NA,18528635,25372442,26580812,46640386,28,136,3578,31976184,6136333,10963382,2237942
212486,390,NA,21,116,1342,46567565,22101197,20244970,8739814,63,NA,NA,NA,1,5,31,73,65,45,45,44,22,15,20,7,6,27,60,313,1342,6480160,1607218,3632342,845255,NA,6630747,10270157,15500905,17323885,2,24,1342,5676446,716772,2313538,334748
226108,107,NA,NA,33,291,16589629,7807150,5858037,2728051,16,NA,NA,NA,NA,4,7,17,16,18,9,13,4,6,5,1,1,9,12,78,291,2252289,741069,1139425,405173,NA,1575988,2394192,1933292,4791192,NA,12,291,3140845,384212,1017653,261482
243897,330,NA,8,66,826,26898390,14153096,11007074,5384021,56,NA,NA,NA,1,2,27,54,57,62,36,35,27,11,9,4,1,18,59,310,826,3462383,764337,1851792,437612,NA,6442655,8934264,10465489,15278599,2,10,826,1429855,147739,314193,53805
218906,864,NA,100,355,2807,125683156,65518660,61155272,25355238,127,4,NA,NA,2,18,98,129,136,98,101,84,69,30,17,17,12,69,120,579,2807,9761651,3148850,10526009,2691120,5,14160673,19502619,21718101,45287267,16,57,2807,19315739,2383436,6371339,799603
256792,126,NA,NA,10,389,1279827,486634,673623,236120,24,NA,NA,NA,NA,7,11,12,22,16,12,14,9,4,11,4,NA,6,14,140,389,1450028,346682,1080877,111708,NA,1343263,2734265,1331046,4413584,NA,NA,389,NA,NA,NA,NA
210306,502,NA,8,32,1311,10275150,5312625,4872092,2074140,72,NA,NA,NA,NA,9,62,104,103,72,54,38,32,13,8,2,2,19,134,526,1311,5471869,3273183,2111511,993866,NA,11569009,15054456,25545546,34227229,3,16,1311,2605173,570408,971439,170398
